"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1,NA,0,NA,0,NA,NA,2,77.8117077278461
"2",0,1,1,NA,0,0,26.55,2,NA
"3",0,NA,0,NA,1,NA,NA,2,75.2401742433415
"4",0,NA,1,26,0,0,8.05,2,NA
"5",0,NA,NA,18,0,1,14.4542,NA,82.4723069413372
"6",0,2,1,NA,1,0,21,2,NA
"7",0,3,NA,48,0,0,NA,2,NA
"8",0,NA,NA,28,0,0,7.8958,NA,80.3759453965355
"9",0,NA,1,24,2,0,24.15,2,NA
"10",1,NA,0,17,0,0,12,0,NA
"11",1,1,0,38,1,0,71.2833,0,79.6336283004248
"12",0,3,1,29.5730136986301,0,0,7.2292,0,78.2780329200986
"13",0,3,NA,40,0,0,NA,2,NA
"14",0,3,NA,22,0,0,NA,2,NA
"15",0,3,0,NA,0,1,10.4625,2,NA
"16",0,NA,NA,28,1,0,82.1708,NA,76.5718441383097
"17",0,3,1,NA,0,0,7.75,2,NA
"18",0,NA,NA,28,0,0,22.525,NA,78.1567539820213
"19",1,NA,0,NA,0,NA,NA,2,78.4992894644872
"20",0,3,NA,29.5730136986301,0,0,NA,2,NA
"21",1,NA,0,NA,1,NA,NA,0,76.8100556187727
"22",0,3,NA,20,0,0,NA,2,NA
"23",0,1,1,45,0,0,35.5,2,75.4833088285317
"24",0,3,NA,29.5730136986301,0,0,NA,2,NA
"25",1,NA,0,24,0,0,13,2,NA
"26",0,3,1,29.5730136986301,0,0,7.75,1,71.1979199851813
"27",1,3,NA,29.5730136986301,1,0,NA,1,NA
"28",0,3,NA,39,1,5,NA,2,NA
"29",1,3,0,NA,0,0,7.8542,2,NA
"30",1,2,0,24,NA,NA,27,2,93.1990194774448
"31",1,2,0,NA,0,0,13,2,NA
"32",0,1,1,37,NA,NA,29.7,0,78.1886004078414
"33",1,NA,0,NA,0,NA,NA,2,83.744815929254
"34",0,2,1,NA,0,0,10.5,2,NA
"35",0,3,1,NA,0,0,7.8958,2,NA
"36",0,NA,1,NA,0,NA,NA,2,78.2811703507625
"37",1,1,1,25,1,0,91.0792,0,82.9510406018964
"38",0,NA,1,NA,0,NA,NA,2,77.6008999070736
"39",1,NA,NA,16,0,0,86.5,NA,81.0617271886664
"40",1,2,1,NA,1,1,18.75,2,NA
"41",0,NA,NA,22,0,0,7.125,NA,75.6589034956602
"42",0,NA,NA,19,0,0,7.8958,NA,78.5671497393014
"43",0,NA,1,NA,0,NA,NA,2,80.4592869177466
"44",0,3,1,14,4,1,39.6875,2,74.993119499463
"45",0,NA,1,NA,0,NA,NA,2,73.8003918413476
"46",0,1,1,29,0,0,30,2,71.9085282349546
"47",0,NA,1,42,0,0,7.65,2,NA
"48",0,1,1,29.5730136986301,NA,NA,52,2,72.0949366077205
"49",1,1,NA,27,0,0,NA,0,NA
"50",1,NA,1,29,0,0,7.75,1,NA
"51",1,2,NA,5,1,2,NA,2,NA
"52",0,3,0,NA,0,NA,9.8375,2,76.7553632578111
"53",0,3,1,NA,0,NA,7.75,1,74.8949086434741
"54",1,NA,0,NA,0,NA,NA,2,86.6408707094773
"55",0,NA,1,NA,0,NA,NA,2,87.8345399551198
"56",1,NA,1,NA,0,NA,NA,2,75.0828708525563
"57",0,NA,1,NA,0,NA,NA,2,82.3480131339733
"58",0,NA,1,NA,0,NA,NA,1,70.5982597669021
"59",0,3,1,44,0,1,16.1,2,76.3394002836786
"60",0,NA,0,NA,0,NA,NA,2,77.490020740689
"61",0,2,NA,19,0,0,NA,2,NA
"62",0,2,1,18,0,0,73.5,2,82.1417995264289
"63",0,3,1,31,0,0,7.775,2,70.9946866545871
"64",0,2,1,NA,0,0,0,2,NA
"65",0,NA,NA,21,0,0,7.25,NA,70.3010776503635
"66",0,NA,NA,25,0,0,13,NA,73.8703089154395
"67",0,3,1,32,NA,NA,8.3625,2,75.0470694424892
"68",0,2,NA,30,1,0,NA,0,NA
"69",0,NA,1,NA,0,NA,NA,0,67.8056671481556
"70",0,3,NA,33,0,0,NA,0,NA
"71",0,NA,1,NA,0,NA,NA,2,74.8203549670921
"72",1,1,0,NA,1,1,52.5542,2,NA
"73",0,NA,1,NA,1,NA,NA,2,84.4664581815985
"74",0,3,1,NA,0,NA,8.05,2,80.529486148585
"75",0,3,NA,29.5730136986301,0,0,NA,2,NA
"76",1,2,NA,50,0,0,NA,2,NA
"77",1,3,0,29.5730136986301,2,0,23.25,1,86.2145052798372
"78",0,3,1,NA,1,0,7.75,1,NA
"79",0,NA,1,29.5730136986301,0,0,0,2,NA
"80",0,3,NA,29.5730136986301,0,0,NA,2,NA
"81",0,NA,1,NA,0,NA,NA,2,81.0794599638558
"82",0,NA,1,NA,0,NA,NA,2,75.424244449503
"83",1,1,0,NA,1,0,227.525,0,NA
"84",0,3,0,16,NA,NA,46.9,2,78.4637562627311
"85",1,3,0,NA,0,0,7.65,2,NA
"86",0,1,NA,29.5730136986301,0,0,NA,2,NA
"87",0,NA,1,NA,2,NA,NA,2,74.7989556359542
"88",1,1,NA,14,1,2,NA,2,NA
"89",0,1,1,21,0,1,77.2875,2,77.4416024928383
